CODIGO_MESA_2019,CODIGO_CIRCUITO_2017
0100200901X,01002000029
0100200902X,01002000029
0100200903X,01002000029
0100200904X,01002000029
0100200905X,01002000029
0100200906X,01002000029
0100200907X,01002000029
0100200908X,01002000029
0100200909X,01002000029
0100200910X,01002000029
0100200911X,01002000029
0100200912X,01002000029
0100200913X,01002000029
0100200914X,01002000029
0100200915X,01002000029
0100200916X,01002000029
0100200917X,01002000029
0100200918X,01002000029
0100200919X,01002000029
0100200920X,01002000029
0100200921X,01002000029
0100200922X,01002000029
0100200923X,01002000029
0100200924X,01002000029
0100200925X,01002000029
0100200926X,01002000029
0100200927X,01002000029
0100200928X,01002000029
0100200929X,01002000029
0100200930X,01002000029
0100200931X,01002000029
0100200932X,01002000029
0100300933X,01003000030
0100300934X,01003000030
0100300935X,01003000030
0100300936X,01003000030
0100300937X,01003000030
0100300938X,01003000030
0100300939X,01003000030
0100300940X,01003000030
0100300941X,01003000030
0100300942X,01003000030
0100300943X,01003000030
0100300944X,01003000030
0100300945X,01003000030
0100300946X,01003000030
0100300947X,01003000030
0100300948X,01003000030
0100300949X,01003000030
0100300950X,01003000030
0100300951X,01003000030
0100300952X,01003000030
0100300953X,01003000030
0100300954X,01003000030
0100300955X,01003000030
0100300956X,01003000030
0100300957X,01003000030
0100300958X,01003000030
0100300959X,01003000030
0100300960X,01003000030
0100300961X,01003000030
0100300962X,01003000030
0100300963X,01003000030
0100300964X,01003000030
0100300965X,01003000030
0100300966X,01003000031
0100300967X,01003000031
0100300968X,01003000031
0100300969X,01003000031
0100300970X,01003000031
0100300971X,01003000031
0100300972X,01003000031
0100300973X,01003000031
0100300974X,01003000031
0100300975X,01003000031
0100300976X,01003000031
0100300977X,01003000031
0100300978X,01003000031
0100300979X,01003000031
0100300980X,01003000031
0100300981X,01003000031
0100300982X,01003000031
0100300983X,01003000031
0100300984X,01003000031
0100300985X,01003000031
0100300986X,01003000031
0100300987X,01003000031
0100300988X,01003000031
0100300989X,01003000031
0100300990X,01003000031
0100300991X,01003000031
0100300992X,01003000031
0100300993X,01003000031
0100300994X,01003000031
0100300995X,01003000031
0100300996X,01003000031
0100300997X,01003000031
0100300998X,01003000031
0100300999X,01003000031
0100301000X,01003000031
0100301001X,01003000031
0100301002X,01003000031
0100301003X,01003000032
0100301004X,01003000032
0100301005X,01003000032
0100301006X,01003000032
0100301007X,01003000032
0100301008X,01003000032
0100301009X,01003000032
0100301010X,01003000032
0100301011X,01003000032
0100301012X,01003000032
0100301013X,01003000032
0100301014X,01003000032
0100301015X,01003000032
0100301016X,01003000032
0100301017X,01003000032
0100301018X,01003000032
0100301019X,01003000032
0100301020X,01003000032
0100301021X,01003000032
0100301022X,01003000032
0100301023X,01003000032
0100301024X,01003000032
0100301025X,01003000032
0100301026X,01003000032
0100301027X,01003000032
0100301028X,01003000032
0100301029X,01003000032
0100301030X,01003000032
0100301031X,01003000032
0100301032X,01003000032
0100301033X,01003000032
0100301034X,01003000032
0100301035X,01003000032
0100301036X,01003000033
0100301037X,01003000033
0100301038X,01003000033
0100301039X,01003000033
0100301040X,01003000033
0100301041X,01003000033
0100301042X,01003000033
0100301043X,01003000033
0100301044X,01003000033
0100301045X,01003000033
0100301046X,01003000033
0100301047X,01003000033
0100301048X,01003000033
0100301049X,01003000033
0100301050X,01003000033
0100301051X,01003000033
0100301052X,01003000033
0100301053X,01003000033
0100301054X,01003000033
0100301055X,01003000033
0100301056X,01003000033
0100301057X,01003000033
0100301058X,01003000033
0100301059X,01003000033
0100301060X,01003000033
0100301061X,01003000033
0100301062X,01003000033
0100301063X,01003000033
0100301064X,01003000033
0100301065X,01003000034
0100301066X,01003000034
0100301067X,01003000034
0100301068X,01003000034
0100301069X,01003000034
0100301070X,01003000034
0100301071X,01003000034
0100301072X,01003000034
0100301073X,01003000034
0100301074X,01003000034
0100301075X,01003000034
0100301076X,01003000034
0100301077X,01003000034
0100301078X,01003000034
0100301079X,01003000034
0100301080X,01003000034
0100301081X,01003000034
0100301082X,01003000034
0100301083X,01003000034
0100301084X,01003000034
0100301085X,01003000034
0100301086X,01003000034
0100301087X,01003000034
0100301088X,01003000034
0100301089X,01003000034
0100301090X,01003000034
0100301091X,01003000034
0100301092X,01003000034
0100301093X,01003000034
0100301094X,01003000034
0100301095X,01003000034
0100301096X,01003000034
0100301097X,01003000034
0100301098X,01003000034
0100301099X,01003000034
0100301100X,01003000034
0100301101X,01003000034
0100301102X,01003000034
0100301103X,01003000034
0100301104X,01003000034
0100301105X,01003000034
0100301106X,01003000034
0100301107X,01003000035
0100301108X,01003000035
0100301109X,01003000035
0100301110X,01003000035
0100301111X,01003000035
0100301112X,01003000035
