MUNI;label
141401365;VILLA CONCEPCION DEL TIO
141402931;COLONIA ANITA
141402938;COLONIA ITURRASPE
141402945;COLONIA LAS PICHANAS
141402952;COLONIA SAN PEDRO
141402959;COLONIA VALTELINA
141402966;PLAZA LUXARDO
141402973;TORO PUJIO
141402980;VILLA SAN ESTEBAN
141470000;ZONA RURAL
141471372;ALTA GRACIA
141471379;DESPEÑADEROS
141471386;LOZADA
141471393;MALAGUEÑO
141471400;MONTE RALO
141471407;TOLEDO
141472987;ANISACATE
141472994;BOUWER
141473001;DIQUE CHICO
141473008;FALDA DEL CARMEN
141473022;LA PAISANITA
141473029;LA RANCHERITA
141473036;LA SERRANITA
141473043;LOS CEDROS
141473050;POTRERO DE GARAY
141473057;RAFAEL GARCIA
141473064;SAN CLEMENTE
141473071;VALLE DE ANISACATE
141473078;VILLA CIUDAD DE AMERICA
141473085;VILLA DEL PRADO
141473092;VILLA LA BOLSA
141473099;VILLA LOS AROMOS
141473106;VILLA PARQUE SANTA ANA
141473113;VILLA SAN ISIDRO
141540000;ZONA RURAL
141541414;SAN FRANCISCO DEL CHAÑAR
141543120;CAMINIAGA
141543127;CHUÑA HUASI
141543134;POZO NUEVO
141610000;ZONA RURAL
141611421;ALMAFUERTE
141611428;COLONIA ALMADA
141611435;CORRALITO
141611442;DALMACIO VELEZ
141611449;HERNANDO
141611456;JAMES CRAIK
141611463;LAS PERDICES
141611470;LOS ZORROS
141611477;OLIVA
141611484;PAMPAYASTA SUD
141611491;RIO TERCERO
141611498;TANCACHA
141611505;VILLA ASCASUBI
141613141;GENERAL FOTHERINGHAM
141613148;LAS ISLETILLAS
141613155;PAMPAYASTA NORTE
141613162;PUNTA DEL AGUA
141680000;ZONA RURAL
141681512;CAÑADA DE LUQUE
141681519;LAS PEÑAS
141681526;SARMIENTO
141681533;SINSACATE
141681540;VILLA DEL TOTORAL
141683169;CANDELARIA SUD
141683176;CAPILLA DEL SITON
141683183;LA PAMPA
141683190;LOS MISTOLES
141683197;SIMBOLAR
141750000;ZONA RURAL
141751547;LAS ARRIAS
141751554;LUCIO VICTORIO MANSILLA
141751561;SAN JOSE DE LA DORMIDA
141751568;SAN JOSE DE LAS SALINAS
141751575;SAN PEDRO NORTE
141751582;VILLA TULUMBA
141753204;CHURQUI CAÑADA
141753211;EL RODEO
141753218;ROSARIO DEL SALADILLO
141820000;ZONA RURAL
141821589;ALTO ALEGRE
141821596;BALLESTEROS
141821603;BALLESTEROS SUD
141821610;BELL VILLE
141821617;BENJAMIN GOULD
141821624;CANALS
141821631;CHILIBROSTE
141821638;CINTRA
141821645;COLONIA BISMARCK
141821652;IDIAZABAL
